Month,All,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2019/01,3.8,3.6,6.1,4.9,3.6,4.3,3.2,3.8,3.5,5.8,3.4,3.8,2.8,2.9,4.4,3.6,2.7,3.3,4.2,4.7,3.2,3.8,3.1,4.2,3.2,5.1,3.2,3.5,3,4.2,2.5,3.7,5,4,4,2.3,4.3,3.3,4.2,4.1,8.6,3.7,3.4,3.1,3.4,3.7,2.9,2.4,3,4.5,4.9,3.1,3.5
2019/02,3.8,3.5,6.1,4.9,3.6,4.3,3.1,3.8,3.5,5.8,3.4,3.7,2.8,2.9,4.3,3.5,2.7,3.3,4.2,4.6,3.2,3.7,3.1,4.2,3.2,5.2,3.2,3.5,3.1,4.1,2.5,3.6,5,4,4.1,2.3,4.2,3.3,4.2,4.1,8.7,3.7,3.4,3.1,3.4,3.6,2.8,2.3,3,4.5,4.8,3.2,3.5
2019/03,3.8,3.3,6.1,4.8,3.5,4.2,3,3.7,3.6,5.7,3.4,3.7,2.8,2.9,4.3,3.5,2.7,3.2,4.2,4.5,3.1,3.7,3,4.3,3.2,5.3,3.2,3.5,3.1,4.1,2.5,3.5,5,4,4.1,2.3,4.1,3.2,4.1,4.1,8.6,3.6,3.4,3.2,3.5,3.5,2.8,2.3,2.9,4.5,4.8,3.2,3.4
2019/04,3.7,3.2,6.1,4.8,3.5,4.2,2.9,3.7,3.6,5.6,3.3,3.6,2.7,2.9,4.2,3.4,2.7,3.2,4.3,4.5,3.1,3.7,3,4.3,3.2,5.3,3.2,3.5,3.1,4,2.5,3.4,5,4,4.1,2.3,4.1,3.2,4,4.1,8.4,3.6,3.3,3.2,3.5,3.5,2.7,2.3,2.9,4.4,4.7,3.3,3.5
2019/05,3.7,3,6.2,4.8,3.5,4.1,2.8,3.7,3.7,5.5,3.2,3.6,2.7,2.9,4.1,3.3,2.7,3.1,4.3,4.5,3,3.7,2.9,4.2,3.2,5.4,3.1,3.5,3.1,4,2.5,3.3,4.9,4,4,2.4,4.1,3.2,3.9,4.2,8,3.6,3.1,3.3,3.5,3.4,2.7,2.3,2.8,4.4,4.7,3.3,3.5
2019/06,3.7,2.9,6.2,4.8,3.6,4,2.7,3.7,3.7,5.4,3.2,3.5,2.7,2.9,4,3.3,2.7,3.1,4.3,4.6,2.9,3.6,2.9,4.2,3.2,5.4,3.1,3.5,3.1,3.9,2.5,3.3,4.9,3.9,4,2.4,4.1,3.2,3.8,4.3,7.7,3.6,2.9,3.3,3.4,3.4,2.6,2.4,2.8,4.3,4.7,3.4,3.6
2019/07,3.6,2.8,6.2,4.7,3.6,4,2.7,3.7,3.8,5.4,3.1,3.4,2.7,2.9,3.9,3.2,2.7,3.1,4.3,4.7,2.9,3.6,2.9,4.1,3.2,5.5,3.2,3.5,3.1,3.9,2.6,3.3,4.8,3.9,3.9,2.4,4.2,3.3,3.7,4.4,7.5,3.6,2.7,3.3,3.4,3.5,2.5,2.4,2.7,4.2,4.8,3.4,3.7
2019/08,3.6,2.8,6.2,4.6,3.6,3.9,2.6,3.7,3.9,5.3,3,3.3,2.7,2.9,3.8,3.2,2.8,3.1,4.3,4.9,2.9,3.6,2.8,4,3.2,5.5,3.2,3.5,3.1,3.8,2.6,3.5,4.8,3.9,3.8,2.4,4.2,3.3,3.6,4.5,7.6,3.5,2.5,3.3,3.4,3.5,2.5,2.4,2.7,4.2,4.9,3.4,3.7
2019/09,3.6,2.7,6.2,4.6,3.6,3.9,2.6,3.7,3.9,5.3,2.9,3.2,2.7,2.9,3.7,3.2,2.8,3.1,4.3,5.1,2.9,3.5,2.8,3.9,3.2,5.6,3.3,3.5,3,3.7,2.6,3.6,4.8,3.9,3.7,2.4,4.1,3.3,3.5,4.6,7.9,3.5,2.4,3.4,3.3,3.5,2.5,2.4,2.7,4.1,5,3.4,3.7
2019/10,3.6,2.7,6.1,4.5,3.5,3.9,2.5,3.8,4,5.3,2.9,3.2,2.7,2.9,3.7,3.2,2.8,3.1,4.3,5.2,3,3.4,2.8,3.9,3.3,5.6,3.4,3.5,3,3.7,2.6,3.7,4.8,3.9,3.7,2.4,4.1,3.4,3.4,4.6,8.3,3.5,2.4,3.4,3.3,3.5,2.4,2.4,2.7,4,5.1,3.5,3.7
2019/11,3.6,2.7,6.1,4.5,3.5,3.9,2.5,3.8,4,5.3,2.8,3.1,2.6,2.9,3.7,3.2,2.8,3.1,4.3,5.2,3,3.4,2.8,3.9,3.3,5.6,3.4,3.5,3,3.7,2.6,3.7,4.8,3.9,3.6,2.4,4.1,3.4,3.4,4.6,8.5,3.5,2.4,3.4,3.3,3.5,2.4,2.4,2.7,4,5.1,3.5,3.7
2019/12,3.6,2.7,6.1,4.5,3.5,3.9,2.5,3.8,4,5.3,2.9,3.1,2.7,2.9,3.7,3.2,2.8,3.1,4.3,5.2,3,3.4,2.8,3.9,3.3,5.6,3.4,3.5,3,3.7,2.6,3.7,4.8,3.9,3.6,2.4,4.1,3.4,3.4,4.6,8.5,3.5,2.4,3.4,3.3,3.5,2.4,2.4,2.7,4,5.1,3.5,3.7
2020/01,3.6,2.7,6,4.5,3.5,3.9,2.5,3.7,4,5.2,2.8,3.1,2.7,2.8,3.5,3.1,2.8,3.1,4.3,5.3,3.1,3.3,2.8,3.8,3.2,5.5,3.5,3.5,2.9,3.6,2.6,3.8,4.8,3.8,3.6,2.3,4.1,3.3,3.3,4.7,8.9,3.4,2.4,3.4,3.3,3.5,2.5,2.4,2.7,3.9,5,3.5,3.7
2020/02,3.5,2.7,5.8,4.5,3.5,3.9,2.5,3.8,3.9,5.1,2.8,3.1,2.7,2.7,3.4,3.1,2.8,3.1,4.2,5.2,3.2,3.3,2.8,3.6,3.1,5.4,3.5,3.5,2.9,3.6,2.6,3.8,4.8,3.7,3.6,2.2,4.1,3.2,3.3,4.7,8.8,3.4,2.5,3.3,3.4,3.5,2.5,2.4,2.6,3.8,4.9,3.5,3.7
2020/03,4.5,3,5.2,6.1,5,5.5,5.2,3.4,5,6,4.4,4.6,2.4,2.5,4.2,3,3.3,2.8,5.2,6.7,3,3.3,2.8,4.3,2.9,5.1,3.9,3.6,4,6.9,2.4,3.7,6.3,4.1,4.3,2,5.8,2.9,3.5,5.8,,4.7,3.2,3.1,3.3,5.1,3.8,3.1,3.3,5.1,6,3.1,3.8
2020/04,14.7,13.8,13.5,13.4,10.8,16.4,12.2,8.3,14.9,11.7,13.8,12.6,23.8,11.8,17.2,17.5,11,11.9,16.6,15.1,10.4,10.1,16.2,24,8.7,16.3,10.2,11.9,8.7,30.1,17.1,16.3,11.9,15.3,12.9,9.1,17.6,14.7,14.9,16.1,,18.1,12.8,10.9,15.5,13.5,10.4,16.5,11.2,16.3,15.9,13.6,9.6
2020/05,13.3,9.6,12.7,9,9.6,16.4,10.2,9.6,15.9,8.8,13.7,9.4,23.5,9,15.3,12.3,10.2,10,10.9,14.2,9.4,10,16.6,21.3,9.9,10.5,10.1,9,5.3,25.3,15.4,15.4,9.1,14.5,12.8,9.1,13.9,12.6,14.3,13.4,,16.4,12.4,9.4,11,13,8.6,12.8,9,15.1,12.9,12.1,8.8
2020/06,11.1,7.6,12.4,10,8.1,14.9,10.6,10.1,12.6,8.7,10.3,7.6,13.4,5.8,14.5,11.1,8.4,7.5,4.4,9.5,6.7,8.3,17.7,14.9,8.6,8.8,7.8,7.2,5.5,15.2,9.2,16.8,8.4,15.6,7.5,7.4,11,6.4,11.6,13.2,,12.6,8.7,7.2,9.6,8.4,5.3,9.5,8.1,10,10.5,8.6,7.6
2020/07,10.2,7.9,11.6,10.7,7.1,13.5,7.4,10.2,10.5,8.5,11.4,7.6,13.5,5.1,11.5,7.9,6.8,7.2,4.5,9.4,9.9,7.8,16.2,8.7,7.6,9.4,6.9,6.5,4.9,14.2,8,14.2,12.7,15.9,8.5,6.6,9,7.1,10.4,12.5,,11.3,8.7,6.4,9.7,8,4.5,8.3,7.9,10.2,10,7.1,7.1
2020/08,8.4,5.6,7.4,5.9,7.4,11.4,6.7,8.1,8.9,8.5,7.4,5.6,12.5,4.2,11,6.4,6,6.9,7.6,7.6,6.9,6.9,11.3,8.7,7.4,7.9,7,5.6,4,13.2,6.5,10.9,11.3,12.5,6.5,5,8.9,5.7,7.7,10.3,,12.8,6.3,4.8,8.5,6.8,4.1,4.8,6.1,8.5,8.9,6.2,6.6